Brand,Quarter,Market Share
Samsung,Q4 '09,3.3
Samsung,Q1 '10,4.3
Samsung,Q2 '10,5.6
Samsung,Q3 '10,8.8
Samsung,Q4 '10,9.4
Samsung,Q1 '11,11.3
Samsung,Q2 '11,17
Samsung,Q3 '11,22.7
Samsung,Q4 '11,22.5
Samsung,Q1 '12,28.8
Samsung,Q2 '12,32.2
Samsung,Q3 '12,31
Samsung,Q4 '12,29.1
Samsung,Q1 '13,31.9
Samsung,Q2 '13,32.3
Samsung,Q3 '13,32.5
Samsung,Q4 '13,28.83
Samsung,Q1 '14,30.7
Samsung,Q2 '14,24.8
Samsung,Q3 '14,23.9
Samsung,Q4 '14,19.9
Samsung,Q1 '15,24.6
Samsung,Q2 '15,21.3
Samsung,Q3 '15,23.3
Samsung,Q4 '15,20.4
Samsung,Q1 '16,23.8
Samsung,Q2 '16,22.7
Samsung,Q3 '16,20.9
Samsung,Q4 '16,18
Samsung,Q1 '17,23.3
Samsung,Q2 '17,22.9
Samsung,Q3 '17,22.1
Samsung,Q4 '17,18.9
Samsung,Q1 '18,23.5
Samsung,Q2 '18,21
Samsung,Q3 '18,20.3
Samsung,Q4 '18,18.7
Samsung,Q1 '19,23.1
Samsung,Q2 '19,22.7
Apple,Q4 '09,16.1
Apple,Q1 '10,15.7
Apple,Q2 '10,13
Apple,Q3 '10,17
Apple,Q4 '10,15.9
Apple,Q1 '11,18.3
Apple,Q2 '11,18.8
Apple,Q3 '11,13.8
Apple,Q4 '11,23
Apple,Q1 '12,23
Apple,Q2 '12,16.6
Apple,Q3 '12,14.4
Apple,Q4 '12,20.9
Apple,Q1 '13,17.1
Apple,Q2 '13,13
Apple,Q3 '13,12.9
Apple,Q4 '13,17.43
Apple,Q1 '14,15.2
Apple,Q2 '14,11.7
Apple,Q3 '14,11.8
Apple,Q4 '14,19.7
Apple,Q1 '15,18.3
Apple,Q2 '15,13.9
Apple,Q3 '15,13.4
Apple,Q4 '15,18.7
Apple,Q1 '16,15.4
Apple,Q2 '16,11.7
Apple,Q3 '16,12.5
Apple,Q4 '16,18.2
Apple,Q1 '17,14.7
Apple,Q2 '17,11.8
Apple,Q3 '17,12.4
Apple,Q4 '17,19.6
Apple,Q1 '18,15.7
Apple,Q2 '18,12.1
Apple,Q3 '18,13.2
Apple,Q4 '18,18.2
Apple,Q1 '19,11.7
Apple,Q2 '19,10.1
Huawei,Q4 '09,0
Huawei,Q1 '10,0
Huawei,Q2 '10,0
Huawei,Q3 '10,0
Huawei,Q4 '10,0
Huawei,Q1 '11,0
Huawei,Q2 '11,0
Huawei,Q3 '11,0
Huawei,Q4 '11,3.5
Huawei,Q1 '12,3.3
Huawei,Q2 '12,4.1
Huawei,Q3 '12,3.8
Huawei,Q4 '12,4.6
Huawei,Q1 '13,4.3
Huawei,Q2 '13,4.3
Huawei,Q3 '13,4.8
Huawei,Q4 '13,5.66
Huawei,Q1 '14,4.7
Huawei,Q2 '14,6.7
Huawei,Q3 '14,5
Huawei,Q4 '14,6.3
Huawei,Q1 '15,5.2
Huawei,Q2 '15,8.6
Huawei,Q3 '15,7.6
Huawei,Q4 '15,8.2
Huawei,Q1 '16,8.4
Huawei,Q2 '16,9.3
Huawei,Q3 '16,9.3
Huawei,Q4 '16,10.5
Huawei,Q1 '17,10
Huawei,Q2 '17,11
Huawei,Q3 '17,10.4
Huawei,Q4 '17,10.7
Huawei,Q1 '18,11.8
Huawei,Q2 '18,15.9
Huawei,Q3 '18,14.6
Huawei,Q4 '18,16.1
Huawei,Q1 '19,19
Huawei,Q2 '19,17.6
LG,Q4 '09,0
LG,Q1 '10,0
LG,Q2 '10,0
LG,Q3 '10,0
LG,Q4 '10,0
LG,Q1 '11,0
LG,Q2 '11,0
LG,Q3 '11,0
LG,Q4 '11,0
LG,Q1 '12,3.2
LG,Q2 '12,3.7
LG,Q3 '12,3.8
LG,Q4 '12,3.8
LG,Q1 '13,4.7
LG,Q2 '13,5
LG,Q3 '13,4.6
LG,Q4 '13,4.6
LG,Q1 '14,4.3
LG,Q2 '14,4.9
LG,Q3 '14,5.1
LG,Q4 '14,0
LG,Q1 '15,4.6
LG,Q2 '15,0
LG,Q3 '15,0
LG,Q4 '15,0
LG,Q1 '16,0
LG,Q2 '16,0
LG,Q3 '16,0
LG,Q4 '16,0
LG,Q1 '17,0
LG,Q2 '17,0
LG,Q3 '17,0
LG,Q4 '17,0
LG,Q1 '18,0
LG,Q2 '18,0
LG,Q3 '18,0
LG,Q4 '18,0
LG,Q1 '19,0
LG,Q2 '19,0
Sony,Q4 '09,0
Sony,Q1 '10,0
Sony,Q2 '10,0
Sony,Q3 '10,0
Sony,Q4 '10,0
Sony,Q1 '11,0
Sony,Q2 '11,0
Sony,Q3 '11,0
Sony,Q4 '11,3.9
Sony,Q1 '12,3.6
Sony,Q2 '12,4.7
Sony,Q3 '12,4.7
Sony,Q4 '12,4.5
Sony,Q1 '13,0
Sony,Q2 '13,0
Sony,Q3 '13,0
Sony,Q4 '13,0
Sony,Q1 '14,0
Sony,Q2 '14,0
Sony,Q3 '14,0
Sony,Q4 '14,0
Sony,Q1 '15,0
Sony,Q2 '15,0
Sony,Q3 '15,0
Sony,Q4 '15,0
Sony,Q1 '16,0
Sony,Q2 '16,0
Sony,Q3 '16,0
Sony,Q4 '16,0
Sony,Q1 '17,0
Sony,Q2 '17,0
Sony,Q3 '17,0
Sony,Q4 '17,0
Sony,Q1 '18,0
Sony,Q2 '18,0
Sony,Q3 '18,0
Sony,Q4 '18,0
Sony,Q1 '19,0
Sony,Q2 '19,0
Nokia,Q4 '09,38.6
Nokia,Q1 '10,38.8
Nokia,Q2 '10,37.3
Nokia,Q3 '10,32
Nokia,Q4 '10,27.6
Nokia,Q1 '11,23.8
Nokia,Q2 '11,15.4
Nokia,Q3 '11,13.6
Nokia,Q4 '11,12.2
Nokia,Q1 '12,7.8
Nokia,Q2 '12,6.6
Nokia,Q3 '12,0
Nokia,Q4 '12,0
Nokia,Q1 '13,0
Nokia,Q2 '13,0
Nokia,Q3 '13,0
Nokia,Q4 '13,0
Nokia,Q1 '14,0
Nokia,Q2 '14,0
Nokia,Q3 '14,0
Nokia,Q4 '14,0
Nokia,Q1 '15,0
Nokia,Q2 '15,0
Nokia,Q3 '15,0
Nokia,Q4 '15,0
Nokia,Q1 '16,0
Nokia,Q2 '16,0
Nokia,Q3 '16,0
Nokia,Q4 '16,0
Nokia,Q1 '17,0
Nokia,Q2 '17,0
Nokia,Q3 '17,0
Nokia,Q4 '17,0
Nokia,Q1 '18,0
Nokia,Q2 '18,0
Nokia,Q3 '18,0
Nokia,Q4 '18,0
Nokia,Q1 '19,0
Nokia,Q2 '19,0
Others,Q4 '09,17.6
Others,Q1 '10,17.2
Others,Q2 '10,19.9
Others,Q3 '10,20.1
Others,Q4 '10,24.3
Others,Q1 '11,24.1
Others,Q2 '11,24.8
Others,Q3 '11,26.7
Others,Q4 '11,16.4
Others,Q1 '12,15.4
Others,Q2 '12,14
Others,Q3 '12,25.7
Others,Q4 '12,28.6
Others,Q1 '13,33.8
Others,Q2 '13,36.4
Others,Q3 '13,38.4
Others,Q4 '13,36.94
Others,Q1 '14,40.8
Others,Q2 '14,42.1
Others,Q3 '14,43.9
Others,Q4 '14,46.1
Others,Q1 '15,37.6
Others,Q2 '15,40.6
Others,Q3 '15,39.1
Others,Q4 '15,36.4
Others,Q1 '16,42.1
Others,Q2 '16,41
Others,Q3 '16,40.7
Others,Q4 '16,36.9
Others,Q1 '17,35
Others,Q2 '17,40.1
Others,Q3 '17,39.6
Others,Q4 '17,36.8
Others,Q1 '18,27.6
Others,Q2 '18,32.9
Others,Q3 '18,33.8
Others,Q4 '18,31.5
Others,Q1 '19,23.3
Others,Q2 '19,31
