Brand,Q4 '09,Q1 '10,Q2 '10,Q3 '10,Q4 '10,Q1 '11,Q2 '11,Q3 '11,Q4 '11,Q1 '12,Q2 '12,Q3 '12,Q4 '12,Q1 '13,Q2 '13,Q3 '13,Q4 '13,Q1 '14,Q2 '14,Q3 '14,Q4 '14,Q1 '15,Q2 '15,Q3 '15,Q4 '15,Q1 '16,Q2 '16,Q3 '16,Q4 '16,Q1 '17,Q2 '17,Q3 '17,Q4 '17,Q1 '18,Q2 '18,Q3 '18,Q4 '18,Q1 '19,Q2 '19
Samsung,0.033,0.043,0.056,0.088,0.094,0.113,0.17,0.227,0.225,0.288,0.322,0.31,0.291,0.319,0.323,0.325,0.2883,0.307,0.248,0.239,0.199,0.246,0.213,0.233,0.204,0.238,0.227,0.209,0.18,0.233,0.229,0.221,0.189,0.235,0.21,0.203,0.187,0.231,0.227
Apple,0.161,0.157,0.13,0.17,0.159,0.183,0.188,0.138,0.23,0.23,0.166,0.144,0.209,0.171,0.13,0.129,0.1743,0.152,0.117,0.118,0.197,0.183,0.139,0.134,0.187,0.154,0.117,0.125,0.182,0.147,0.118,0.124,0.196,0.157,0.121,0.132,0.182,0.117,0.101
Huawei,0,0,0,0,0,0,0,0,0.035,0.033,0.041,0.038,0.046,0.043,0.043,0.048,0.0566,0.047,0.067,0.05,0.063,0.052,0.086,0.076,0.082,0.084,0.093,0.093,0.105,0.1,0.11,0.104,0.107,0.118,0.159,0.146,0.161,0.19,0.176
Xiaomi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0.0203,0,0.046,0.052,0.044,0,0.053,0.052,0.046,0,0.039,0.037,0.033,0.043,0.062,0.075,0.071,0.084,0.095,0.097,0.076,0.08,0.097
OPPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0.028,0.032,0.036,0.059,0.066,0.071,0.073,0.075,0.08,0.081,0.069,0.074,0.086,0.084,0.078,0.074,0.089
LG,0,0,0,0,0,0,0,0,0,0.032,0.037,0.038,0.038,0.047,0.05,0.046,0.046,0.043,0.049,0.051,0,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lenovo,0,0,0,0,0,0,0,0,0,0,0.031,0.037,0.041,0.036,0.047,0.047,0.0451,0.044,0.052,0.051,0.037,0.056,0.048,0.053,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZTE,0,0,0,0,0,0,0.018,0.033,0.04,0.04,0.041,0.044,0.044,0.042,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vivo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0.027,0.029,0.03,0.044,0.048,0.058,0.058,0.052,0,0,0,0.056,0,0,0,0.075,0
Sony,0,0,0,0,0,0,0,0,0.039,0.036,0.047,0.047,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIM,0.199,0.191,0.174,0.15,0.143,0.136,0.115,0.096,0.081,0.064,0.049,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTC,0.045,0.049,0.068,0.071,0.085,0.089,0.107,0.103,0.064,0.045,0.059,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nokia,0.386,0.388,0.373,0.32,0.276,0.238,0.154,0.136,0.122,0.078,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Others,0.176,0.172,0.199,0.201,0.243,0.241,0.248,0.267,0.164,0.154,0.14,0.257,0.286,0.338,0.364,0.384,0.3694,0.408,0.421,0.439,0.461,0.376,0.406,0.391,0.364,0.421,0.41,0.407,0.369,0.35,0.401,0.396,0.368,0.276,0.329,0.338,0.315,0.233,0.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
